itemid,modifier,name,url
14593,,Hawkeye's Cloak,https://classic.wowhead.com/item=14593
4567,504,Merc Sword of the Wolf,https://classic.wowhead.com/item=4567
2838,,Heavy Stone,https://classic.wowhead.com/item=2838
14172,179,Buccaneer's Robes of Spirit,https://classic.wowhead.com/item=14172
9791,1027,Ivycloth Tunic of the Whale,https://classic.wowhead.com/item=9791
3292,,Ancestral Tunic,https://classic.wowhead.com/item=3292
15120,764,Robust Girdle of the Owl,https://classic.wowhead.com/item=15120
15354,763,Headhunter's Cloak of the Owl,https://classic.wowhead.com/item=15354
7476,1030,Regal Sash of the Whale,https://classic.wowhead.com/item=7476
9854,866,Archer's Jerkin of the Eagle,https://classic.wowhead.com/item=9854
6047,,Plans: Golden Scale Coif,https://classic.wowhead.com/item=6047
6574,96,Defender Bracers of Stamina,https://classic.wowhead.com/item=6574
9863,188,Archer's Shoulderpads of Stamina,https://classic.wowhead.com/item=9863
15547,1187,Thick Scale Cloak of the Bear,https://classic.wowhead.com/item=15547
4575,593,Medicine Staff of the Monkey,https://classic.wowhead.com/item=4575
3192,671,Short Bastard Sword of the Tiger,https://classic.wowhead.com/item=3192
9807,154,Superior Shoulders of Stamina,https://classic.wowhead.com/item=9807
15348,1993,Pathfinder Bracers of Nature's Wrath,https://classic.wowhead.com/item=15348
14561,,Prospector's Cuffs,https://classic.wowhead.com/item=14561
8152,,Flask of Big Mojo,https://classic.wowhead.com/item=8152
17682,,Book: Gift of the Wild,https://classic.wowhead.com/item=17682
16656,,Shredder Operating Manual - Page 12,https://classic.wowhead.com/item=16656
3655,,Burnished Shield,https://classic.wowhead.com/item=3655
6539,2030,Willow Belt of Healing,https://classic.wowhead.com/item=6539
6336,96,Infantry Tunic of Stamina,https://classic.wowhead.com/item=6336
2292,,Necrology Robes,https://classic.wowhead.com/item=2292
9870,947,Renegade Circlet of the Gorilla,https://classic.wowhead.com/item=9870
3195,844,Barbaric Battle Axe of the Eagle,https://classic.wowhead.com/item=3195
1429,,Patchwork Cloak,https://classic.wowhead.com/item=1429
8178,1012,Training Sword of the Whale,https://classic.wowhead.com/item=8178
6242,,Blue Linen Robe,https://classic.wowhead.com/item=6242
9840,597,Banded Girdle of the Monkey,https://classic.wowhead.com/item=9840
7418,1202,Phalanx Breastplate of the Bear,https://classic.wowhead.com/item=7418
7047,,Hands of Darkness,https://classic.wowhead.com/item=7047
7078,,Essence of Fire,https://classic.wowhead.com/item=7078
3928,,Superior Healing Potion,https://classic.wowhead.com/item=3928
6661,,Recipe: Savory Deviate Delight,https://classic.wowhead.com/item=6661
9810,1019,Fortified Boots of the Whale,https://classic.wowhead.com/item=9810
4655,,Giant Clam Meat,https://classic.wowhead.com/item=4655
3210,601,Brutal War Axe of the Monkey,https://classic.wowhead.com/item=3210
3192,1010,Short Bastard Sword of the Whale,https://classic.wowhead.com/item=3192
6575,1182,Defender Cloak of the Bear,https://classic.wowhead.com/item=6575
7375,,Green Whelp Armor,https://classic.wowhead.com/item=7375
10406,1030,Scaled Leather Headband of the Whale,https://classic.wowhead.com/item=10406
15526,590,Sentry's Cape of the Monkey,https://classic.wowhead.com/item=15526
4681,,Brackwater Girdle,https://classic.wowhead.com/item=4681
14163,1959,Pagan Wraps of Frozen Wrath,https://classic.wowhead.com/item=14163
15110,233,Rigid Belt of the Falcon,https://classic.wowhead.com/item=15110
15308,74,Feral Cord of Defense,https://classic.wowhead.com/item=15308
3199,184,Battle Slayer of Stamina,https://classic.wowhead.com/item=3199
9770,1954,Greenweave Cloak of Frozen Wrath,https://classic.wowhead.com/item=9770
9872,1198,Renegade Pauldrons of the Bear,https://classic.wowhead.com/item=9872
5011,,Welken Ring,https://classic.wowhead.com/item=5011
9771,765,Greenweave Gloves of the Owl,https://classic.wowhead.com/item=9771
